"Transect","longitude","latitude"
"EASO-01",-105.137931712413,40.5009218774205
"EASO-02",-104.984446999936,40.6105484219339
"EASO-03",-105.098163738071,40.5231825464748
"EASO-04",-105.140453338824,40.5939251473755
"EASO-05",-105.118252570422,40.5295989854098
"EASO-06",-104.986852923911,40.6126404214135
"EASO-07",-105.040937613572,40.527270518721
"EASO-08",-105.073565372618,40.5799267831369
"EASO-09",-105.121234039046,40.5516193397603
"EASO-10",-105.163451622522,40.6134414575158
"EASO-11",-105.001254677623,40.5935862910994
"EASO-12",-105.089733422492,40.5014761241607
"EASO-13",-105.158192124113,40.5967785056313
"EASO-14",-105.074437001569,40.5767215645133
"EASO-15",-105.015091009655,40.4868439294056
"EASO-16",-105.119044282476,40.4888968148428
"EASO-17",-105.13192081147,40.5529188173719
"EASO-18",-105.073430471207,40.5498364986701
"EASO-19",-105.061929558881,40.5105802738545
"EASO-20",-105.001113838699,40.5259768594907
"EASO-21",-105.024084820848,40.4828007413004
"EASO-22",-104.990707921708,40.6251748872627
"EASO-23",-104.967554477562,40.6377041587003
"EASO-24",-105.11286293033,40.4929875168645
"EASO-25",-105.152879483825,40.5106324525646
"EASO-26",-105.134903358951,40.5155903995012
"EASO-27",-105.063004762574,40.5208019514457
"EASO-28",-105.084516886554,40.5350285256851
"EASO-29",-105.158540594015,40.622417137415
"EASO-30",-104.994140024369,40.5583223646997
"EASO-31",-105.025616642229,40.6090485172717
"EASO-32",-105.021389248171,40.5414675650172
"EASO-33",-105.141748065515,40.5612959056577
"EASO-34",-105.026914860183,40.5799203951942
"EASO-35",-105.165197793368,40.5999226013311
"EASO-36",-105.064778303654,40.5323436291412
"EASO-37",-105.014592389478,40.5607342324082
"EASO-38",-105.028866137025,40.4876052305428
"EASO-39",-105.078621442603,40.540131978227
"EASO-40",-105.114646773639,40.5662317421288
"EASO-41",-105.160492661528,40.6292291193299
"EASO-42",-105.000742467757,40.5849879537677
"EASO-43",-105.044734165384,40.4858840697492
"EASO-44",-105.067164818801,40.5210114817128
"EASO-45",-105.13377394677,40.5330686497249
"EASO-46",-105.054550400661,40.6378311230524
"EASO-47",-105.14077946151,40.6117585921074
"EASO-48",-105.056791325455,40.5864417457651
"EASO-49",-105.078083359265,40.5837723437212
"EASO-50",-105.089842444833,40.4818702960348
"EASO-51",-105.014512798357,40.5367697768626
"EASO-52",-105.078360547474,40.6337388373166
"EASO-53",-104.96481346967,40.6025388770357
"EASO-54",-105.120266425617,40.5694913833449
"EASO-55",-104.970376557891,40.5514062247515
"EASO-56",-104.985431268863,40.4893487289069
"EASO-57",-105.054941938561,40.5676381108534
"EASO-58",-105.112547030291,40.6253513104252
"EASO-59",-105.16595089217,40.5741825977537
"EASO-60",-105.11183681138,40.5546670934579
"EASO-61",-104.973074986024,40.5379741814479
"EASO-62",-105.054880176174,40.6083162551743
"EASO-63",-105.046851930922,40.5988344413095
"EASO-64",-104.978195783578,40.6208462548457
"EASO-65",-104.983026558364,40.5259023880363
"EASO-66",-105.157908593633,40.4854520016724
"EASO-67",-105.045605721001,40.6149916464742
"EASO-68",-104.998171361292,40.4879761413695
"EASO-69",-105.032300018086,40.617093385806
